,type,season,section,raw
0,S,2020,regulations,"1.1 The final text of these Sporting Regulations shall be the English version which will be used should any dispute arise as to their interpretation. Headings in this document are for ease of reference only and do not form part of these Sporting Regulations.
"
1,S,2020,regulations,"1.2 These Sporting Regulations apply to the Championship taking place in the calendar year referred to in the title (“the Championship”) and may only be changed after 30 April of the preceding year with the unanimous agreement of all competitors, save as provided for in Article 1.3 or for changes made by the FIA for safety reasons which may come into effect without notice or delay.
"
2,S,2020,regulations,"1.3 Notwithstanding the provisions of Article 1.2 above, the specific articles of the Sporting Regulations detailed in Article 1.3a) may be changed after 30 April of the preceding year following a proposal from the FIA and with the agreement of at least 60% of the competitors. Any consequential amendments in other articles and/or appendices’ will also be subject to this governance structure.
a) Articles 19, 20, 21.7, 21.8, 21.9, 23.2, 24, 25.1, 26, 32, 34.4, 34.5, 36.1 and 36.2
For the avoidance of doubt, any amendments to any other articles and appendixes will require the unanimous agreement of all competitors.
"
3,S,2020,general_undertaking,"2.1 All drivers, competitors and officials participating in the Championship undertake, on behalf of themselves, their employees, agents and suppliers, to observe all the provisions as supplemented or amended of the International Sporting Code (the Code), the Formula One Technical Regulations (the Technical Regulations) and the present Sporting Regulations together referred to as “the Regulations”.
"
4,S,2020,general_undertaking,"2.2 The Championship and each of its Events is governed by the FIA in accordance with the Regulations. Event means any event entered into the FIA Formula One Championship Calendar for any year commencing 24 hours before P1 is scheduled to take place and ending at the time for the lodging of a protest under the terms of the Code or the time when a technical or sporting certification has been carried out under the terms of the Code, whichever is the later.
"
5,S,2020,general_undertaking,2.3 Any special national regulations must be submitted to the FIA with the original application for inclusion of an Event on the international calendar. Only with the approval of the FIA can such special regulations come into force for an Event.
6,S,2020,general_conditions,"3.1 It is the competitor's responsibility to ensure that all persons concerned by his entry observe all the requirements of the Regulations. If a competitor is unable to be present in person at the Event, he must nominate his representative in writing. The person having charge of an entered car during any part of an Event is responsible jointly and severally with the competitor for ensuring that the requirements are observed.
"
7,S,2020,general_conditions,"3.2 Competitors must ensure that their cars comply with the conditions of eligibility and safety throughout practice and the race.
"
8,S,2020,general_conditions,"3.3 The presentation of a car for initial scrutineering (see Article 25.1 below) will be deemed an implicit statement of conformity.
"
9,S,2020,general_conditions,"3.4 All persons concerned in any way with an entered car or present in any other capacity whatsoever in the paddock, pit lane, or track must wear an appropriate pass at all times.
"
