,type,season,section,raw,nouns,cleaned,corpus_str,lemmatized,sections_cl
0,S,2020,regulations,"1.1 The final text of these Sporting Regulations shall be the English version which will be used should any dispute arise as to their interpretation. Headings in this document are for ease of reference only and do not form part of these Sporting Regulations.
","['text', 'version', 'dispute', 'interpretation', 'headings', 'document', 'ease', 'reference']","['the', 'final', 'text', 'sporting', 'regulations', 'shall', 'english', 'version', 'used', 'dispute', 'arise', 'interpretation', 'headings', 'document', 'ease', 'reference', 'form', 'part', 'sporting', 'regulations']",the final text sporting regulations shall english version used dispute arise interpretation headings document ease reference form part sporting regulations,"['final', 'text', 'sport', 'regulation', 'shall', 'english', 'version', 'use', 'dispute', 'arise', 'interpretation', 'head', 'document', 'ease', 'reference', 'form', 'part', 'sport', 'regulation']",['regulations']
1,S,2020,regulations,"1.2 These Sporting Regulations apply to the Championship taking place in the calendar year referred to in the title (“the Championship”) and may only be changed after 30 April of the preceding year with the unanimous agreement of all competitors, save as provided for in Article 1.3 or for changes made by the FIA for safety reasons which may come into effect without notice or delay.
","['championship', 'place', 'year', 'title', 'championship', 'april', 'year', 'agreement', 'competitors', 'changes', 'fia', 'reasons', 'effect', 'notice']","['these', 'sporting', 'regulations', 'apply', 'championship', 'taking', 'place', 'calendar', 'year', 'referred', 'title', 'championship', 'may', 'changed', 'april', 'preceding', 'year', 'unanimous', 'agreement', 'competitors', 'save', 'provided', 'article', 'changes', 'made', 'fia', 'safety', 'reasons', 'may', 'come', 'effect', 'without', 'notice', 'delay']",these sporting regulations apply championship taking place calendar year referred title championship may changed april preceding year unanimous agreement competitors save provided article changes made fia safety reasons may come effect without notice delay,"['sport', 'regulation', 'apply', 'championship', 'take', 'place', 'calendar', 'year', 'refer', 'title', 'championship', 'may', 'change', 'april', 'precede', 'year', 'unanimous', 'agreement', 'competitor', 'save', 'provide', 'article', 'change', 'make', 'fia', 'safety', 'reason', 'may', 'come', 'effect', 'without', 'notice', 'delay']",['regulations']
2,S,2020,regulations,"1.3 Notwithstanding the provisions of Article 1.2 above, the specific articles of the Sporting Regulations detailed in Article 1.3a) may be changed after 30 April of the preceding year following a proposal from the FIA and with the agreement of at least 60% of the competitors. Any consequential amendments in other articles and/or appendices’ will also be subject to this governance structure.
a) Articles 19, 20, 21.7, 21.8, 21.9, 23.2, 24, 25.1, 26, 32, 34.4, 34.5, 36.1 and 36.2
For the avoidance of doubt, any amendments to any other articles and appendixes will require the unanimous agreement of all competitors.
","['provisions', 'articles', 'april', 'year', 'proposal', 'fia', 'agreement', '%', 'competitors', 'amendments', 'articles', 'structure', 'articles', 'avoidance', 'doubt', 'amendments', 'articles', 'appendixes', 'agreement', 'competitors']","['notwithstanding', 'provisions', 'article', 'specific', 'articles', 'sporting', 'regulations', 'detailed', 'article', 'may', 'changed', 'april', 'preceding', 'year', 'following', 'proposal', 'fia', 'agreement', 'least', 'competitors', 'any', 'consequential', 'amendments', 'articles', 'appendices', 'also', 'subject', 'governance', 'structure', 'articles', 'for', 'avoidance', 'doubt', 'amendments', 'articles', 'appendixes', 'require', 'unanimous', 'agreement', 'competitors']",notwithstanding provisions article specific articles sporting regulations detailed article may changed april preceding year following proposal fia agreement least competitors any consequential amendments articles appendices also subject governance structure articles for avoidance doubt amendments articles appendixes require unanimous agreement competitors,"['notwithstanding', 'provision', 'article', 'specific', 'article', 'sport', 'regulation', 'detail', 'article', 'may', 'change', 'april', 'precede', 'year', 'follow', 'proposal', 'fia', 'agreement', 'least', 'competitor', 'consequential', 'amendment', 'article', 'appendix', 'also', 'subject', 'governance', 'structure', 'article', 'avoidance', 'doubt', 'amendment', 'article', 'appendix', 'require', 'unanimous', 'agreement', 'competitor']",['regulations']
3,S,2020,general_undertaking,"2.1 All drivers, competitors and officials participating in the Championship undertake, on behalf of themselves, their employees, agents and suppliers, to observe all the provisions as supplemented or amended of the International Sporting Code (the Code), the Formula One Technical Regulations (the Technical Regulations) and the present Sporting Regulations together referred to as “the Regulations”.
","['drivers', 'competitors', 'officials', 'undertake', 'behalf', 'employees', 'agents', 'suppliers', 'provisions', 'code', 'code']","['all', 'drivers', 'competitors', 'officials', 'participating', 'championship', 'undertake', 'behalf', 'employees', 'agents', 'suppliers', 'observe', 'provisions', 'supplemented', 'amended', 'international', 'sporting', 'code', 'code', 'formula', 'one', 'technical', 'regulations', 'technical', 'regulations', 'present', 'sporting', 'regulations', 'together', 'referred', 'regulations']",all drivers competitors officials participating championship undertake behalf employees agents suppliers observe provisions supplemented amended international sporting code code formula one technical regulations technical regulations present sporting regulations together referred regulations,"['driver', 'competitor', 'official', 'participate', 'championship', 'undertake', 'behalf', 'employee', 'agent', 'supplier', 'observe', 'provision', 'supplement', 'amend', 'international', 'sport', 'code', 'code', 'formula', 'one', 'technical', 'regulation', 'technical', 'regulation', 'present', 'sport', 'regulation', 'together', 'refer', 'regulation']","['general', 'undertaking']"
4,S,2020,general_undertaking,"2.2 The Championship and each of its Events is governed by the FIA in accordance with the Regulations. Event means any event entered into the FIA Formula One Championship Calendar for any year commencing 24 hours before P1 is scheduled to take place and ending at the time for the lodging of a protest under the terms of the Code or the time when a technical or sporting certification has been carried out under the terms of the Code, whichever is the later.
","['championship', 'events', 'fia', 'accordance', 'event', 'event', 'calendar', 'year', 'hours', 'place', 'time', 'lodging', 'protest', 'terms', 'code', 'time', 'certification', 'terms', 'code']","['the', 'championship', 'events', 'governed', 'fia', 'accordance', 'regulations', 'event', 'means', 'event', 'entered', 'fia', 'formula', 'one', 'championship', 'calendar', 'year', 'commencing', 'hours', 'scheduled', 'take', 'place', 'ending', 'time', 'lodging', 'protest', 'terms', 'code', 'time', 'technical', 'sporting', 'certification', 'carried', 'terms', 'code', 'whichever', 'later']",the championship events governed fia accordance regulations event means event entered fia formula one championship calendar year commencing hours scheduled take place ending time lodging protest terms code time technical sporting certification carried terms code whichever later,"['championship', 'event', 'govern', 'fia', 'accordance', 'regulation', 'event', 'mean', 'event', 'enter', 'fia', 'formula', 'one', 'championship', 'calendar', 'year', 'commence', 'hour', 'schedule', 'take', 'place', 'end', 'time', 'lodge', 'protest', 'term', 'code', 'time', 'technical', 'sport', 'certification', 'carry', 'term', 'code', 'whichever', 'late']","['general', 'undertaking']"
5,S,2020,general_undertaking,2.3 Any special national regulations must be submitted to the FIA with the original application for inclusion of an Event on the international calendar. Only with the approval of the FIA can such special regulations come into force for an Event.,"['fia', 'application', 'inclusion', 'event', 'calendar', 'approval', 'fia', 'force', 'event']","['any', 'special', 'national', 'regulations', 'must', 'submitted', 'fia', 'original', 'application', 'inclusion', 'event', 'international', 'calendar', 'only', 'approval', 'fia', 'special', 'regulations', 'come', 'force', 'event']",any special national regulations must submitted fia original application inclusion event international calendar only approval fia special regulations come force event,"['special', 'national', 'regulation', 'must', 'submit', 'fia', 'original', 'application', 'inclusion', 'event', 'international', 'calendar', 'approval', 'fia', 'special', 'regulation', 'come', 'force', 'event']","['general', 'undertaking']"
6,S,2020,general_conditions,"3.1 It is the competitor's responsibility to ensure that all persons concerned by his entry observe all the requirements of the Regulations. If a competitor is unable to be present in person at the Event, he must nominate his representative in writing. The person having charge of an entered car during any part of an Event is responsible jointly and severally with the competitor for ensuring that the requirements are observed.
","['it', 'responsibility', 'persons', 'entry', 'competitor', 'person', 'event', 'representative', 'writing', 'person', 'charge', 'car', 'event', 'competitor']","['it', 'competitor', 'responsibility', 'ensure', 'persons', 'concerned', 'entry', 'observe', 'requirements', 'regulations', 'if', 'competitor', 'unable', 'present', 'person', 'event', 'must', 'nominate', 'representative', 'writing', 'the', 'person', 'charge', 'entered', 'car', 'part', 'event', 'responsible', 'jointly', 'severally', 'competitor', 'ensuring', 'requirements', 'observed']",it competitor responsibility ensure persons concerned entry observe requirements regulations if competitor unable present person event must nominate representative writing the person charge entered car part event responsible jointly severally competitor ensuring requirements observed,"['competitor', 'responsibility', 'ensure', 'person', 'concern', 'entry', 'observe', 'requirement', 'regulation', 'competitor', 'unable', 'present', 'person', 'event', 'must', 'nominate', 'representative', 'write', 'person', 'charge', 'enter', 'car', 'part', 'event', 'responsible', 'jointly', 'severally', 'competitor', 'ensure', 'requirement', 'observe']","['general', 'conditions']"
7,S,2020,general_conditions,"3.2 Competitors must ensure that their cars comply with the conditions of eligibility and safety throughout practice and the race.
","['competitors', 'cars', 'conditions', 'eligibility', 'safety', 'practice', 'race']","['competitors', 'must', 'ensure', 'cars', 'comply', 'conditions', 'eligibility', 'safety', 'throughout', 'practice', 'race']",competitors must ensure cars comply conditions eligibility safety throughout practice race,"['competitor', 'must', 'ensure', 'car', 'comply', 'condition', 'eligibility', 'safety', 'throughout', 'practice', 'race']","['general', 'conditions']"
8,S,2020,general_conditions,"3.3 The presentation of a car for initial scrutineering (see Article 25.1 below) will be deemed an implicit statement of conformity.
","['presentation', 'car', 'scrutineering', 'conformity']","['the', 'presentation', 'car', 'initial', 'scrutineering', 'see', 'article', 'deemed', 'implicit', 'statement', 'conformity']",the presentation car initial scrutineering see article deemed implicit statement conformity,"['presentation', 'car', 'initial', 'scrutineering', 'see', 'article', 'deem', 'implicit', 'statement', 'conformity']","['general', 'conditions']"
9,S,2020,general_conditions,"3.4 All persons concerned in any way with an entered car or present in any other capacity whatsoever in the paddock, pit lane, or track must wear an appropriate pass at all times.
","['persons', 'way', 'car', 'present', 'capacity', 'lane', 'track', 'pass', 'times']","['all', 'persons', 'concerned', 'way', 'entered', 'car', 'present', 'capacity', 'whatsoever', 'paddock', 'pit', 'lane', 'track', 'must', 'wear', 'appropriate', 'pass', 'times']",all persons concerned way entered car present capacity whatsoever paddock pit lane track must wear appropriate pass times,"['person', 'concern', 'way', 'enter', 'car', 'present', 'capacity', 'whatsoever', 'paddock', 'pit', 'lane', 'track', 'must', 'wear', 'appropriate', 'pas', 'time']","['general', 'conditions']"
